game_id,year,week,owner_1,score_1,owner_2,score_2,season,round
448,2017,11,ML,90.6,LB,86.8,Regular Season,Regular Season
449,2017,11,NN,126.5,WF,62.2,Regular Season,Regular Season
450,2017,11,DK,93.2,CD,118.6,Regular Season,Regular Season
451,2017,12,RW,105.3,CN,148.9,Regular Season,Regular Season
452,2017,12,WF,112.3,CD,92.7,Regular Season,Regular Season
453,2017,12,LB,79.8,NN,98.7,Regular Season,Regular Season
454,2017,12,OB,108.7,DK,87.8,Regular Season,Regular Season
455,2017,12,ML,121.8,DG,81.1,Regular Season,Regular Season
456,2017,13,LB,64.1,DG,94.8,Regular Season,Regular Season
457,2017,13,NN,128.6,RW,84.5,Regular Season,Regular Season
458,2017,13,WF,135,CN,152.6,Regular Season,Regular Season
459,2017,13,OB,80.8,CD,84.1,Regular Season,Regular Season
460,2017,13,ML,106.6,DK,55.8,Regular Season,Regular Season
461,2017,14,DG,96.1,OB,109.6,Post Season,Wildcard
462,2017,14,NN,80.8,CD,141.2,Post Season,Wildcard
463,2017,14,RW,118,WF,100.5,Post Season,B4 Playoffs
464,2017,14,DK,79.9,LB,113.7,Post Season,B4 Playoffs
465,2017,15,OB,181.5,ML,84.2,Post Season,Semifinal
466,2017,15,CD,133.8,CN,74.8,Post Season,Semifinal
467,2017,15,NN,105,DG,99.5,Post Season,Consolation
468,2017,15,LB,107.2,RW,46.9,Post Season,B4 Playoffs
469,2017,15,DK,66.5,WF,117.9,Post Season,B4 Playoffs
470,2017,16,OB,99.2,CD,130.6,Post Season,Championship
471,2017,16,CN,51.3,ML,119.5,Post Season,3rd Place
472,2017,16,NN,104.5,DG,78.6,Post Season,Consolation
473,2017,16,LB,73.4,WF,53.9,Post Season,B4 Playoffs
474,2017,16,DK,83.5,RW,87.7,Post Season,B4 Playoffs
