game_id,year,week,owner_1,score_1,owner_2,score_2,season,round
326,2016,2,CD,88.5,DK,95.2,Regular Season,Regular Season
327,2016,3,DG,121.8,CN,80.8,Regular Season,Regular Season
328,2016,3,LB,114.1,DK,77.7,Regular Season,Regular Season
329,2016,3,WF,115.1,OB,135.6,Regular Season,Regular Season
330,2016,3,CD,147.8,ML,62.5,Regular Season,Regular Season
331,2016,3,NN,95.7,RW,124.8,Regular Season,Regular Season
332,2016,4,NN,71.4,WF,95,Regular Season,Regular Season
333,2016,4,ML,106.8,LB,73.5,Regular Season,Regular Season
334,2016,4,CD,68.6,OB,119.1,Regular Season,Regular Season
335,2016,4,DK,128.3,DG,90.9,Regular Season,Regular Season
336,2016,4,CN,88.4,RW,98.3,Regular Season,Regular Season
337,2016,5,NN,123.5,OB,125.2,Regular Season,Regular Season
338,2016,5,LB,95.9,DG,129,Regular Season,Regular Season
